96827 82412
90868 131389
100000 100000 0
99999 100002 1
99998 100004 2
99997 100006 3
99996 100008 4
99995 100010 5
99994 100012 6
99993 100014 7
99992 100016 8
99991 100018 9
99990 100020 10
99989 100022 11
99988 100024 12
99987 100026 13
99986 100028 14
99985 100030 15
99984 100032 16
99983 100034 17
99982 100036 18
99981 100038 19
99980 100040 20
99979 100042 21
99978 100044 22
99977 100046 23
99976 100048 24
99975 100050 25
99974 100052 26
99973 100054 27
99972 100056 28
99971 100058 29
99970 100060 30
99969 100062 31
99968 100064 32
99967 100066 33
99966 100068 34
99965 100070 35
99964 100072 36
99963 100074 37
99962 100076 38
99961 100078 39
99960 100080 40
99959 100082 41
99949 100113 42
99939 100144 43
99929 100175 44
99919 100206 45
99909 100237 46
99899 100268 47
99889 100299 48
99879 100330 49
99869 100361 50
99859 100392 51
99849 100423 52
99839 100454 53
99829 100485 54
99819 100516 55
99809 100547 56
99799 100578 57
99789 100609 58
99779 100640 59
99769 100671 60
99759 100702 61
99749 100733 62
99739 100764 63
99729 100795 64
99719 100826 65
99709 100857 66
99699 100888 67
99689 100919 68
99679 100950 69
99669 100981 70
99659 101012 71
99649 101043 72
99639 101074 73
99629 101105 74
99619 101136 75
99609 101167 76
99599 101198 77
99589 101229 78
99579 101260 79
99569 101291 80
99559 101322 81
99549 101353 82
99539 101384 83
99529 101415 84
99519 101446 85
99509 101477 86
99499 101508 87
99489 101539 88
99479 101570 89
99469 101601 90
99459 101632 91
99449 101663 92
99439 101694 93
99429 101725 94
99419 101756 95
99409 101787 96
99399 101818 97
99389 101849 98
99379 101880 99
99369 101911 100
99359 101942 101
99349 101973 102
99339 102004 103
99329 102035 104
99319 102066 105
99309 102097 106
99299 102128 107
99289 102159 108
99279 102190 109
99269 102221 110
99259 102252 111
99249 102283 112
99239 102314 113
99229 102345 114
99219 102376 115
99209 102407 116
99199 102438 117
99189 102469 118
99179 102500 119
99169 102531 120
99159 102562 121
99149 102593 122
99139 102624 123
99129 102655 124
99119 102686 125
99109 102717 126
99128 102735 127
99147 102753 128
99166 102771 129
99185 102789 130
99204 102807 131
99223 102825 132
99242 102843 133
99261 102861 134
99280 102879 135
99299 102897 136
99318 102915 137
99337 102933 138
99356 102951 139
99375 102969 140
99394 102987 141
99413 103005 142
99432 103023 143
99451 103041 144
99470 103059 145
99489 103077 146
99508 103095 147
99527 103113 148
99546 103131 149
99565 103149 150
99584 103167 151
99603 103185 152
99622 103203 153
99641 103221 154
99660 103239 155
99679 103257 156
99698 103275 157
99717 103293 158
99736 103311 159
99755 103329 160
99774 103347 161
99793 103365 162
99812 103383 163
99831 103401 164
99850 103419 165
99869 103437 166
99835 103454 167
99801 103471 168
99767 103488 169
99733 103505 170
99699 103522 171
99665 103539 172
99631 103556 173
99597 103573 174
99563 103590 175
99529 103607 176
99495 103624 177
99461 103641 178
99427 103658 179
99393 103675 180
99359 103692 181
99325 103709 182
99291 103726 183
99257 103743 184
99223 103760 185
99189 103777 186
99155 103794 187
99121 103811 188
99087 103828 189
99053 103845 190
99019 103862 191
98985 103879 192
98951 103896 193
98917 103913 194
98883 103930 195
98849 103947 196
98815 103964 197
98781 103981 198
98747 103998 199
98713 104015 200
98679 104032 201
98645 104049 202
98611 104066 203
98577 104083 204
98543 104100 205
98509 104117 206
98475 104134 207
98475 104134 208
98475 104134 209
98475 104134 210
98475 104134 211
98475 104134 212
98475 104134 213
98475 104134 214
98475 104134 215
98475 104134 216
98475 104134 217
98475 104134 218
98475 104134 219
98475 104134 220
98475 104134 221
98475 104134 222
98475 104134 223
98475 104134 224
98475 104134 225
98475 104134 226
98475 104134 227
98475 104134 228
98475 104134 229
98475 104134 230
98475 104134 231
98475 104134 232
98475 104134 233
98475 104134 234
98475 104134 235
98475 104134 236
98475 104134 237
98475 104134 238
98475 104134 239
98475 104134 240
98475 104134 241
98475 104134 242
98475 104134 243
98475 104134 244
98475 104134 245
98475 104134 246
98475 104134 247
98475 104134 248
98475 104134 249
98475 104134 250
98475 104134 251
98475 104134 252
98475 104134 253
98475 104134 254
98475 104134 255
98475 104134 256
98475 104134 257
98475 104134 258
98475 104134 259
98475 104134 260
98475 104134 261
98467 104137 262
98459 104140 263
98451 104143 264
98443 104146 265
98435 104149 266
98427 104152 267
98419 104155 268
98411 104158 269
98403 104161 270
98395 104164 271
98387 104167 272
98379 104170 273
98371 104173 274
98363 104176 275
98355 104179 276
98347 104182 277
98339 104185 278
98331 104188 279
98323 104191 280
98315 104194 281
98307 104197 282
98299 104200 283
98291 104203 284
98283 104206 285
98275 104209 286
98267 104212 287
98259 104215 288
98251 104218 289
98243 104221 290
98235 104224 291
98227 104227 292
98219 104230 293
98211 104233 294
98203 104236 295
98195 104239 296
98187 104242 297
98179 104245 298
98171 104248 299
98163 104251 300
98155 104254 301
98147 104257 302
98139 104260 303
98131 104263 304
98123 104266 305
98115 104269 306
98107 104272 307
98099 104275 308
98091 104278 309
98083 104281 310
98075 104284 311
98067 104287 312
98059 104290 313
98051 104293 314
98043 104296 315
98035 104299 316
98027 104302 317
98019 104305 318
98011 104308 319
98003 104311 320
97995 104314 321
97987 104317 322
97979 104320 323
97971 104323 324
97963 104326 325
97955 104329 326
97947 104332 327
97939 104335 328
97931 104338 329
97923 104341 330
97915 104344 331
97907 104347 332
97899 104350 333
97891 104353 334
97883 104356 335
97875 104359 336
97867 104362 337
97859 104365 338
97851 104368 339
97843 104371 340
97835 104374 341
97827 104377 342
97819 104380 343
97811 104383 344
97796 104414 345
97781 104445 346
97766 104476 347
97751 104507 348
97736 104538 349
97721 104569 350
97706 104600 351
97691 104631 352
97676 104662 353
97661 104693 354
97646 104724 355
97631 104755 356
97616 104786 357
97601 104817 358
97586 104848 359
97571 104879 360
97556 104910 361
97541 104941 362
97526 104972 363
97511 105003 364
97496 105034 365
97481 105065 366
97466 105096 367
97451 105127 368
97436 105158 369
97421 105189 370
97406 105220 371
97391 105251 372
97376 105282 373
97361 105313 374
97346 105344 375
97331 105375 376
97316 105406 377
97301 105437 378
97286 105468 379
97271 105499 380
97256 105530 381
97241 105561 382
97226 105592 383
97211 105623 384
97196 105654 385
97181 105685 386
97166 105716 387
97151 105747 388
97136 105778 389
97121 105809 390
97106 105840 391
97091 105871 392
97076 105902 393
97061 105933 394
97046 105964 395
97031 105995 396
97016 106026 397
97001 106057 398
96986 106088 399
96971 106119 400
96956 106150 401
96941 106181 402
96926 106212 403
96911 106243 404
96896 106274 405
96881 106305 406
96866 106336 407
96851 106367 408
96836 106398 409
96821 106429 410
96806 106460 411
96791 106491 412
96776 106522 413
96761 106553 414
96734 106548 415
96707 106543 416
96680 106538 417
96653 106533 418
96626 106528 419
96599 106523 420
96572 106518 421
96545 106513 422
96518 106508 423
96491 106503 424
96464 106498 425
96437 106493 426
96410 106488 427
96383 106483 428
96356 106478 429
96329 106473 430
96302 106468 431
96275 106463 432
96248 106458 433
96221 106453 434
96194 106448 435
96167 106443 436
96140 106438 437
96113 106433 438
96086 106428 439
96059 106423 440
96032 106418 441
96005 106413 442
95978 106408 443
95951 106403 444
95924 106398 445
95897 106393 446
95884 106372 447
95871 106351 448
95858 106330 449
95845 106309 450
95832 106288 451
95819 106267 452
95806 106246 453
95793 106225 454
95780 106204 455
95767 106183 456
95754 106162 457
95741 106141 458
95728 106120 459
95715 106099 460
95702 106078 461
95689 106057 462
95676 106036 463
95663 106015 464
95650 105994 465
95637 105973 466
95624 105952 467
95611 105931 468
95598 105910 469
95585 105889 470
95572 105868 471
95559 105847 472
95546 105826 473
95533 105805 474
95520 105784 475
95507 105763 476
95494 105742 477
95481 105721 478
95468 105700 479
95455 105679 480
95442 105658 481
95429 105637 482
95416 105616 483
95403 105595 484
95390 105574 485
95377 105553 486
95364 105532 487
95351 105511 488
95338 105490 489
95325 105469 490
95312 105448 491
95299 105427 492
95286 105406 493
95273 105385 494
95260 105364 495
95247 105343 496
95234 105322 497
95221 105301 498
95208 105280 499
95195 105259 500
95182 105238 501
95169 105217 502
95156 105196 503
95143 105175 504
95130 105154 505
95117 105133 506
95104 105112 507
95091 105091 508
95078 105070 509
95065 105049 510
95052 105028 511
95039 105007 512
95026 104986 513
95013 104965 514
95000 104944 515
94987 104923 516
94974 104902 517
94961 104881 518
94948 104860 519
94935 104839 520
94922 104818 521
94909 104797 522
94896 104776 523
94883 104755 524
94870 104734 525
94857 104713 526
94844 104692 527
94831 104671 528
94818 104650 529
94805 104629 530
94792 104608 531
94779 104587 532
94766 104566 533
94753 104545 534
94740 104524 535
94736 104519 536
94732 104514 537
94728 104509 538
94724 104504 539
94720 104499 540
94716 104494 541
94712 104489 542
94708 104484 543
94704 104479 544
94700 104474 545
94696 104469 546
94692 104464 547
94688 104459 548
94684 104454 549
94680 104449 550
94676 104444 551
94672 104439 552
94668 104434 553
94664 104429 554
94660 104424 555
94656 104419 556
94652 104414 557
94648 104409 558
94644 104404 559
94640 104399 560
94636 104394 561
94632 104389 562
94628 104384 563
94624 104379 564
94623 104379 565
94622 104379 566
94621 104379 567
94620 104379 568
94619 104379 569
94618 104379 570
94617 104379 571
94616 104379 572
94615 104379 573
94614 104379 574
94613 104379 575
94612 104379 576
94611 104379 577
94610 104379 578
94609 104379 579
94608 104379 580
94607 104379 581
94606 104379 582
94605 104379 583
94622 104392 584
94639 104405 585
94656 104418 586
94673 104431 587
94690 104444 588
94707 104457 589
94724 104470 590
94741 104483 591
94758 104496 592
94775 104509 593
94792 104522 594
94809 104535 595
94826 104548 596
94843 104561 597
94860 104574 598
94877 104587 599
94894 104600 600
94911 104613 601
94928 104626 602
94945 104639 603
94962 104652 604
94979 104665 605
94996 104678 606
95013 104691 607
95030 104704 608
95047 104717 609
95064 104730 610
95081 104743 611
95098 104756 612
95115 104769 613
95132 104782 614
95149 104795 615
95166 104808 616
95183 104821 617
95200 104834 618
95217 104847 619
95234 104860 620
95251 104873 621
95268 104886 622
95285 104899 623
95302 104912 624
95319 104925 625
95336 104938 626
95353 104951 627
95370 104964 628
95387 104977 629
95404 104990 630
95421 105003 631
95438 105016 632
95455 105029 633
95472 105042 634
95489 105055 635
95506 105068 636
95523 105081 637
95540 105094 638
95557 105107 639
95574 105120 640
95591 105133 641
95608 105146 642
95625 105159 643
95642 105172 644
95659 105185 645
95652 105210 646
95645 105235 647
95638 105260 648
95631 105285 649
95624 105310 650
95617 105335 651
95610 105360 652
95603 105385 653
95596 105410 654
95589 105435 655
95582 105460 656
95575 105485 657
95568 105510 658
95561 105535 659
95554 105560 660
95547 105585 661
95540 105610 662
95533 105635 663
95526 105660 664
95519 105685 665
95512 105710 666
95505 105735 667
95498 105760 668
95491 105785 669
95484 105810 670
95477 105835 671
95470 105860 672
95463 105885 673
95456 105910 674
95449 105935 675
95442 105960 676
95435 105985 677
95428 106010 678
95421 106035 679
95414 106060 680
95407 106085 681
95400 106110 682
95393 106135 683
95386 106160 684
95379 106185 685
95372 106210 686
95365 106235 687
95358 106260 688
95351 106285 689
95352 106279 690
95353 106273 691
95354 106267 692
95355 106261 693
95356 106255 694
95357 106249 695
95358 106243 696
95359 106237 697
95360 106231 698
95361 106225 699
95362 106219 700
95363 106213 701
95364 106207 702
95365 106201 703
95366 106195 704
95367 106189 705
95368 106183 706
95369 106177 707
95370 106171 708
95371 106165 709
95372 106159 710
95373 106153 711
95374 106147 712
95375 106141 713
95376 106135 714
